981 2445
827 451 894
977 334 405
643 389 715
19 332 177
135 367 922
486 943 790
847 901 312
932 692 531
971 491 192
613 865 989
709 211 700
861 550 584
473 731 416
55 971 427
159 393 962
64 263 534
734 682 682
380 674 810
612 264 567
713 614 432
913 581 751
885 602 725
384 4 604
918 466 50
613 661 584
969 136 349
663 576 953
910 188 209
299 855 220
917 828 314
144 275 313
206 395 34
589 595 531
132 574 527
529 978 675
860 537 618
541 785 75
309 69 499
417 897 640
900 27 235
853 92 305
603 104 345
232 146 134
446 765 720
640 886 849
784 561 555
171 880 192
647 376 443
733 745 510
319 514 884
479 362 496
531 772 60
38 721 997
444 283 925
837 596 850
76 893 190
192 334 528
230 380 447
630 78 498
645 473 576
497 567 335
900 714 934
380 425 676
359 545 724
606 661 288
699 466 805
439 412 93
334 926 841
868 386 130
685 287 693
896 79 777
207 540 442
558 347 641
399 611 553
952 380 717
367 321 182
192 793 190
44 647 774
754 447 339
216 812 819
70 873 38
658 861 101
968 93 178
558 177 350
261 684 267
948 319 741
273 497 324
738 170 679
48 257 903
625 104 952
273 630 692
257 552 173
726 528 36
309 389 341
454 252 495
906 874 28
369 691 779
594 37 972
133 860 302
718 183 168
393 55 361
560 967 78
486 72 399
770 531 713
678 134 471
691 362 579
611 723 993
829 396 318
781 732 862
725 823 14
667 400 968
953 558 715
717 710 269
282 161 188
78 141 184
51 743 855
618 561 721
120 665 669
150 745 72
327 671 722
211 398 534
447 16 360
297 780 805
409 677 567
294 604 568
669 244 794
787 337 252
250 281 77
5 347 150
523 635 661
102 507 674
752 579 772
781 710 923
568 836 669
831 38 612
446 590 334
974 355 288
712 405 778
202 290 935
283 587 554
514 156 51
670 234 864
430 365 692
970 846 422
720 62 702
230 664 829
397 193 366
220 695 80
669 839 831
585 785 60
736 534 617
932 264 75
583 173 624
136 235 44
376 768 758
477 456 839
548 839 688
685 2 485
228 629 999
514 903 925
934 446 715
28 15 989
922 823 436
173 744 760
902 351 445
70 313 643
528 167 102
609 711 182
702 213 402
153 435 863
966 571 415
962 834 104
261 979 190
491 783 673
372 376 272
874 127 728
476 229 822
662 824 960
906 244 375
282 431 421
42 952 566
622 945 860
175 315 385
113 476 213
240 441 80
838 669 120
181 142 235
771 347 223
116 39 143
761 949 942
4 330 431
65 138 841
642 667 404
439 544 63
853 381 312
855 714 59
469 435 504
135 850 574
854 25 456
702 763 992
489 788 420
18 79 994
607 389 208
492 776 911
189 120 281
165 269 64
773 718 584
816 745 354
830 869 954
756 867 581
359 557 446
671 473 867
493 842 619
102 955 795
578 607 665
55 46 930
241 735 297
159 675 95
164 647 906
200 874 86
293 620 124
641 228 290
315 861 396
285 424 867
482 878 256
112 233 85
506 572 581
540 812 834
811 907 246
414 132 843
113 872 639
35 264 504
968 237 399
716 684 110
895 427 197
313 452 365
236 427 628
537 196 417
386 898 501
831 383 362
494 666 63
892 506 170
917 32 203
29 272 585
425 672 829
719 289 830
493 171 743
201 17 344
869 414 908
311 782 920
507 752 387
191 661 585
428 50 864
420 199 837
742 959 353
376 302 935
559 134 886
388 253 849
265 344 720
263 489 455
104 302 310
475 396 530
612 579 379
847 462 355
423 178 153
748 375 832
204 621 512
857 210 750
794 503 796
910 152 839
71 471 598
588 140 418
337 800 360
676 576 730
181 553 58
890 744 771
447 438 534
543 622 561
869 883 410
593 576 260
577 205 781
585 845 856
972 684 509
655 845 575
628 759 769
174 955 940
54 28 734
434 72 247
119 446 738
886 253 520
949 438 481
286 778 984
66 649 920
249 898 465
881 600 765
361 641 508
762 335 428
28 498 509
645 346 685
402 308 81
302 731 802
638 583 742
524 966 1000
493 284 747
481 474 753
117 855 343
346 731 734
463 392 157
649 398 77
326 137 388
970 586 854
915 283 874
580 598 75
479 620 153
899 885 631
292 879 394
981 453 173
751 368 540
747 861 732
508 490 765
789 803 746
850 903 751
82 500 551
775 245 78
173 506 238
308 69 129
929 528 92
674 623 834
887 312 567
314 636 18
113 545 559
42 718 122
774 430 289
787 198 122
37 172 412
732 535 259
757 462 292
30 561 810
356 693 639
12 214 411
245 222 367
617 76 112
382 306 883
539 906 593
428 573 856
465 590 50
717 606 235
259 944 848
768 686 326
515 429 938
973 651 59
885 859 676
827 637 933
645 634 673
116 329 805
11 705 302
437 291 731
946 43 402
960 239 978
224 237 38
801 757 471
148 816 848
896 582 896
583 926 295
323 713 107
861 14 696
562 908 441
490 208 926
272 102 639
133 320 246
940 740 527
498 2 121
975 629 479
392 271 850
246 453 816
402 692 575
608 398 670
467 791 71
427 647 317
175 151 884
845 449 343
723 534 345
536 435 240
468 584 670
878 205 504
867 497 466
274 139 294
37 562 174
52 389 610
809 615 198
54 306 727
185 74 827
227 168 594
461 863 894
902 391 563
113 838 858
676 48 55
689 413 383
769 561 168
691 695 125
616 947 665
772 666 735
419 482 965
158 479 73
97 650 886
468 361 487
720 841 704
751 519 546
72 569 530
654 671 440
875 656 577
733 981 761
741 199 723
772 617 190
689 420 953
847 160 496
764 746 998
677 211 491
575 362 129
952 702 852
21 351 914
21 483 571
293 558 254
665 570 424
188 461 775
904 677 824
369 622 304
104 694 709
114 111 231
645 931 975
844 587 572
898 816 493
658 489 81
93 806 491
540 893 193
130 211 182
46 439 501
305 354 151
965 101 257
369 291 860
942 310 849
164 112 762
605 445 533
687 364 823
666 981 502
675 688 219
340 958 171
962 358 461
935 64 986
728 703 646
892 194 90
871 529 241
736 567 687
421 890 613
486 202 499
844 966 298
663 575 979
433 613 67
817 471 564
740 930 88
524 917 652
744 977 908
363 635 834
557 707 571
620 365 891
146 826 442
461 109 709
910 504 936
274 379 12
141 770 931
815 31 911
216 384 575
159 223 236
102 545 38
418 481 215
35 577 407
896 823 622
536 74 642
336 519 263
598 87 492
979 29 759
211 374 844
358 106 638
919 567 450
134 735 23
159 782 134
707 278 155
347 389 511
842 494 490
601 138 369
394 589 906
285 569 847
787 474 741
170 529 564
398 259 828
142 159 772
548 361 283
253 936 691
23 669 798
330 659 667
695 514 419
882 94 923
860 60 666
693 277 625
584 111 212
923 968 774
524 387 14
797 381 413
534 882 935
882 687 404
273 645 902
103 626 17
505 331 642
347 307 938
590 881 628
54 751 903
810 555 898
649 626 895
125 923 301
490 665 867
687 489 975
227 369 141
392 946 296
630 757 649
209 321 476
119 930 882
135 818 456
12 936 945
898 588 180
268 429 185
167 103 202
13 567 765
774 204 242
524 298 679
940 631 480
279 382 784
34 251 877
682 58 350
192 541 472
916 200 878
663 752 430
875 540 211
206 533 211
287 47 563
31 195 755
366 817 405
582 388 707
262 242 242
547 893 250
916 476 371
233 101 96
368 320 416
315 932 528
774 744 382
79 89 477
448 56 623
367 14 922
617 242 766
615 100 711
721 158 448
377 425 192
409 64 61
951 350 471
855 8 912
147 578 704
904 98 911
855 34 14
137 470 714
246 97 363
55 451 880
128 758 22
381 31 912
934 824 712
840 825 66
597 642 955
882 430 92
927 617 212
815 855 378
848 115 947
848 787 474
826 240 420
177 828 221
425 751 27
518 63 312
757 30 32
281 155 273
959 749 362
196 897 676
258 460 802
940 279 644
430 160 797
593 774 618
593 878 930
411 734 345
936 534 981
480 284 184
806 864 539
64 486 157
405 498 119
732 366 539
444 678 836
108 164 51
179 399 319
144 842 607
811 785 258
782 501 636
80 478 497
936 792 400
529 10 965
793 729 540
136 300 466
749 736 425
349 576 267
952 728 573
367 516 459
825 423 321
674 660 576
820 254 152
891 914 864
7 592 196
749 913 658
745 793 379
89 313 68
949 654 3
402 851 204
479 639 973
870 617 184
759 223 336
938 546 568
346 64 629
202 264 666
532 965 542
559 519 52
193 73 141
678 325 694
66 659 99
428 822 466
39 86 56
193 783 554
740 957 642
160 477 565
961 744 282
754 534 986
560 530 285
793 413 132
124 730 818
592 702 774
964 523 357
649 285 687
16 695 185
477 668 924
956 343 161
979 953 345
648 184 898
109 160 884
584 848 455
275 808 423
20 602 854
155 229 913
170 253 550
645 229 594
773 78 873
163 162 543
329 349 621
707 840 591
226 488 15
535 358 811
447 702 197
859 210 311
979 73 919
953 131 312
429 962 688
307 858 324
628 678 631
324 537 727
555 234 544
90 352 586
868 840 402
57 384 104
324 227 631
316 171 574
648 135 793
578 697 527
685 973 111
618 108 140
184 617 68
248 364 744
10 429 562
393 228 201
185 246 153
837 399 243
794 680 712
497 90 476
500 899 108
384 631 39
12 53 847
582 504 628
505 872 169
849 221 301
248 151 141
644 642 209
637 675 482
42 745 785
116 176 189
860 318 116
638 636 715
431 798 942
798 901 605
385 191 746
346 693 194
948 724 378
719 922 228
323 401 255
824 743 940
870 847 649
859 678 154
235 711 406
329 375 331
28 802 916
21 88 640
33 141 690
692 349 247
366 653 968
709 366 307
815 591 312
384 688 805
812 457 61
957 169 388
138 680 933
166 246 548
180 697 350
617 769 424
573 2 956
585 156 489
434 127 885
833 418 166
89 268 824
711 941 980
454 860 594
929 40 487
464 707 776
13 615 984
732 715 91
732 59 838
333 84 308
92 210 574
145 945 863
631 972 580
473 278 436
397 228 788
955 411 187
83 761 900
323 438 82
570 901 924
474 393 980
83 842 561
833 570 518
434 507 607
333 538 877
757 478 536
769 273 846
96 62 397
79 149 763
625 383 210
281 82 97
596 464 1000
787 575 760
917 651 19
889 50 342
290 117 632
243 91 224
184 38 411
281 868 851
21 652 390
110 721 576
233 202 623
826 380 87
867 589 520
818 963 282
491 932 872
585 93 280
15 115 982
742 159 716
569 226 461
275 67 506
776 819 930
27 756 882
97 83 445
689 367 963
248 360 652
647 414 609
902 805 438
972 323 34
559 232 692
19 306 793
230 135 253
705 781 816
127 200 432
638 664 737
835 881 361
128 283 278
949 848 557
454 86 292
560 554 196
588 707 577
716 528 843
786 818 549
34 575 633
68 454 752
22 941 452
919 586 31
635 475 79
580 932 602
77 295 52
494 559 54
785 709 313
539 858 791
597 120 434
40 389 782
599 67 562
217 87 87
706 880 724
536 567 385
743 74 357
681 334 154
325 455 960
538 550 509
250 173 570
428 806 469
866 147 191
664 689 701
502 735 550
887 631 240
335 757 321
443 917 414
923 508 584
892 846 216
434 892 256
881 478 683
572 83 458
666 361 47
325 786 277
420 172 959
854 189 160
319 840 167
523 310 939
129 644 231
380 257 102
543 723 292
451 350 481
200 750 196
514 539 356
336 860 503
273 348 828
553 617 206
402 518 846
769 447 628
178 55 711
475 227 847
584 533 921
730 849 189
944 573 358
565 846 566
322 930 702
395 762 202
74 716 870
187 546 878
138 814 485
328 933 605
665 668 624
87 280 309
571 115 470
639 811 283
972 60 852
522 443 590
291 379 805
207 53 600
477 364 300
876 393 401
286 345 695
288 206 302
437 255 437
182 979 927
788 569 226
685 779 976
514 372 264
71 15 682
305 901 980
428 723 683
489 360 92
453 575 218
38 482 892
205 365 307
263 914 415
216 966 287
459 867 72
137 505 226
288 890 984
881 23 453
675 669 311
434 84 273
381 683 933
624 53 882
326 975 824
641 524 270
426 536 118
645 586 661
935 428 976
820 819 833
782 911 16
48 302 584
409 546 281
602 342 698
500 148 428
670 955 448
933 334 778
800 345 538
670 587 846
881 18 359
140 500 311
261 313 825
488 840 499
423 786 24
920 786 877
474 495 257
568 864 533
449 780 352
496 375 990
813 494 618
947 12 700
522 306 772
12 119 852
377 839 448
401 937 491
236 409 466
806 522 628
793 58 465
808 604 470
766 215 16
676 392 321
133 620 562
184 451 770
360 50 375
811 928 736
884 666 473
959 636 391
643 405 646
753 281 605
105 88 498
593 417 352
973 114 811
261 330 770
309 807 983
170 863 727
754 639 86
807 772 842
229 620 947
584 630 800
512 508 604
342 626 445
906 494 155
787 393 541
319 364 743
243 408 266
295 619 642
321 256 768
598 775 813
905 703 288
621 510 464
674 826 340
158 351 822
520 348 989
436 371 187
381 595 480
915 302 832
299 415 665
459 924 206
882 910 713
279 245 263
244 862 397
472 196 506
438 704 32
32 301 746
283 427 8
949 600 852
856 361 80
754 410 200
304 63 517
697 169 438
246 197 920
44 403 565
604 628 43
207 133 610
785 696 585
602 683 806
463 755 645
332 80 231
660 457 648
747 682 32
652 465 428
933 338 550
966 591 350
795 767 562
831 340 172
24 81 354
743 395 898
479 245 341
835 600 718
812 255 223
157 564 846
362 83 387
271 689 311
753 169 235
758 90 729
539 544 838
711 942 481
667 288 680
749 669 949
881 571 463
304 565 188
42 246 797
681 234 258
53 914 514
634 927 751
880 331 572
352 460 959
35 128 182
910 712 825
748 667 860
389 702 453
596 363 362
227 584 362
148 220 313
26 185 344
741 938 520
664 624 551
607 814 108
50 47 477
933 102 980
891 340 79
189 757 975
339 67 153
393 316 611
328 696 645
277 724 664
182 553 156
900 750 712
111 205 220
314 126 881
757 904 682
969 54 799
121 630 803
866 330 237
91 172 942
107 665 359
226 936 458
916 372 443
871 764 889
156 583 710
567 851 519
489 788 217
77 90 992
203 215 886
325 160 5
834 534 996
351 747 489
166 883 645
919 351 907
651 517 969
233 339 493
340 980 527
464 255 81
625 346 636
232 453 818
321 375 660
954 80 663
582 215 309
214 554 815
801 421 878
238 814 17
310 720 823
888 471 818
700 562 215
419 723 462
459 538 448
547 765 571
444 167 77
127 66 533
372 778 627
557 282 873
523 337 611
463 527 736
579 611 614
736 596 466
322 353 968
518 854 447
20 953 329
222 36 984
831 963 144
739 931 845
6 877 724
736 793 352
296 68 70
638 251 299
971 105 565
618 174 983
804 525 527
95 268 610
500 158 824
395 197 500
742 630 836
606 836 616
149 662 306
306 202 547
939 609 432
368 818 444
296 457 462
547 845 991
375 400 366
22 828 479
154 295 879
60 981 588
645 760 169
719 225 438
639 30 917
851 314 172
926 230 511
714 291 539
706 239 261
474 406 252
634 733 60
206 625 285
966 626 310
808 936 567
715 17 308
240 50 639
759 334 288
187 134 254
643 829 652
524 889 753
673 891 601
677 453 425
27 413 70
742 532 291
177 847 429
490 626 386
781 273 565
259 953 737
154 291 560
565 894 563
817 429 780
565 646 615
842 156 709
399 969 602
501 680 611
850 365 758
681 896 626
574 530 689
78 244 1000
96 356 198
620 117 824
410 12 860
367 302 145
611 685 169
919 372 17
731 315 658
555 526 495
641 474 420
530 339 463
625 194 662
73 238 963
301 150 670
449 827 102
777 601 745
473 854 693
446 661 382
362 918 719
78 301 901
872 977 638
398 488 831
530 875 628
697 603 477
927 463 696
960 165 20
671 227 639
580 698 464
833 646 792
412 198 974
656 298 318
520 504 303
655 168 994
711 264 680
912 279 88
761 724 368
131 244 601
354 872 465
862 896 872
617 940 768
783 674 19
128 666 989
453 102 669
574 130 847
875 751 277
734 549 884
82 471 433
501 649 605
360 962 22
632 652 542
95 344 118
570 278 459
799 98 159
541 499 890
306 820 788
829 215 436
433 599 81
527 238 59
741 223 335
257 706 574
321 217 547
460 810 255
304 260 674
63 639 599
101 446 772
256 865 44
545 125 368
126 85 468
453 650 252
725 274 729
289 321 747
926 258 959
215 685 792
896 58 843
449 874 13
366 217 653
713 801 701
914 607 650
977 945 294
408 550 581
157 567 109
886 793 675
252 329 287
480 73 914
320 298 104
182 229 78
906 218 836
839 125 797
274 520 217
961 573 15
414 399 546
883 398 123
45 730 43
103 459 571
444 631 959
695 493 290
723 936 815
870 471 303
875 579 771
895 599 371
909 842 110
435 448 279
678 961 262
800 51 366
910 257 731
239 562 70
687 859 872
598 313 959
710 933 336
394 345 366
933 575 278
491 303 317
862 166 203
18 918 884
431 625 53
763 418 417
821 808 972
172 191 613
776 200 937
250 933 237
655 81 389
265 82 141
488 480 710
584 241 823
286 805 83
773 711 370
349 888 418
539 793 173
516 571 862
17 71 110
542 664 612
727 770 810
558 220 792
277 635 457
837 766 230
193 438 761
385 627 728
235 139 5
750 603 90
245 305 850
568 890 972
412 494 546
295 842 236
69 381 182
675 524 24
980 79 35
512 418 330
374 450 755
639 75 821
788 167 368
773 770 328
654 368 621
796 528 756
263 795 867
755 62 906
816 730 894
309 366 353
84 915 118
57 239 312
687 891 773
837 690 450
449 719 190
209 883 531
822 572 450
830 240 255
607 429 962
95 289 80
192 709 836
879 743 869
849 82 563
710 875 214
558 573 877
765 37 67
831 195 564
17 308 296
513 884 259
933 422 996
450 326 837
668 55 598
95 464 670
570 24 396
596 434 935
608 554 673
754 132 622
358 960 55
372 58 760
21 720 572
309 136 207
953 462 276
732 538 915
557 811 135
896 920 164
536 190 890
918 505 652
288 972 936
490 830 785
113 803 698
868 507 188
880 28 553
373 744 254
406 255 851
303 161 790
609 605 197
143 625 510
504 45 744
463 403 640
126 112 342
373 776 340
641 688 522
489 694 691
169 217 100
167 652 741
310 495 123
152 667 635
415 775 119
515 476 167
643 830 702
393 255 405
128 124 422
922 163 702
731 260 225
165 972 680
167 143 511
541 784 702
629 458 138
739 114 386
267 322 305
559 258 735
213 687 825
366 687 729
496 477 251
794 485 815
685 371 240
752 504 45
936 686 564
726 451 989
337 672 117
934 253 640
470 26 459
887 449 989
573 853 52
707 660 845
805 483 755
644 58 291
238 65 393
321 61 582
607 717 4
704 821 132
598 106 779
880 213 924
516 580 315
213 425 670
397 191 768
635 414 369
578 196 67
767 320 729
575 589 711
687 565 936
535 901 505
782 350 14
848 612 186
238 596 15
697 96 275
901 182 726
86 25 105
68 718 43
262 438 75
67 307 348
484 6 901
43 778 80
472 538 841
203 647 542
135 137 794
158 626 241
645 499 432
688 446 580
43 398 206
652 651 258
39 490 948
894 300 228
792 582 117
646 715 566
893 936 668
631 766 992
762 857 119
9 354 60
739 379 181
89 315 470
255 128 539
427 678 803
482 693 682
48 22 129
338 391 923
272 447 488
74 627 300
542 522 188
344 715 888
545 273 313
802 78 506
447 464 994
742 734 872
364 615 163
332 350 895
131 98 465
760 544 981
39 969 914
593 260 49
350 479 42
856 166 145
120 547 524
954 902 277
555 778 644
49 603 112
658 763 674
254 404 632
302 509 84
394 501 545
626 957 564
342 667 733
840 273 772
428 945 130
105 565 809
7 574 269
807 289 112
43 697 97
145 267 263
396 855 366
126 632 466
499 939 443
854 844 37
128 328 346
588 149 721
447 310 538
856 873 860
27 743 494
818 631 556
616 711 644
935 364 345
851 383 659
487 497 98
557 701 742
663 642 354
240 899 953
723 766 124
346 909 439
60 804 275
371 954 170
709 348 461
356 156 50
589 328 840
617 585 156
786 750 595
764 188 727
219 830 848
145 754 913
254 908 698
652 379 147
30 422 300
358 372 20
960 899 837
375 340 230
332 182 491
377 432 200
306 716 960
446 754 992
530 228 651
286 395 957
73 611 626
51 142 389
954 527 810
326 54 50
260 132 49
872 284 168
273 839 257
134 796 890
215 851 400
401 280 697
156 659 940
696 232 142
788 235 258
845 231 875
216 234 117
867 360 321
83 845 618
572 414 23
609 47 926
821 435 615
644 745 101
955 187 516
24 370 792
914 46 888
746 444 871
796 457 206
539 96 41
947 760 819
79 2 196
662 974 996
594 606 257
431 226 338
12 398 413
723 976 833
978 214 431
867 465 379
327 938 68
156 838 922
701 914 22
347 970 858
892 550 303
489 208 319
901 588 906
809 184 671
181 333 837
125 247 111
922 663 985
675 83 157
707 301 145
235 545 273
33 192 865
129 670 534
213 228 763
649 102 778
535 114 426
19 25 328
11 372 641
115 357 753
404 293 343
648 394 548
362 108 109
139 457 456
207 952 806
111 733 972
922 815 442
318 507 641
634 565 892
288 694 700
914 503 53
564 172 972
221 895 182
139 283 294
638 111 266
164 159 110
840 874 66
830 762 368
343 703 475
213 89 978
783 499 126
287 911 992
212 20 927
193 474 636
800 406 618
141 674 726
888 406 232
945 531 574
496 884 588
543 832 257
207 98 549
137 575 729
358 528 286
620 294 915
35 81 597
562 478 633
724 184 528
297 675 790
827 385 768
780 85 285
253 447 501
882 79 609
705 258 702
67 212 726
257 764 216
237 75 159
808 870 791
517 19 787
291 86 605
636 253 697
12 453 971
558 781 708
108 252 999
447 749 284
447 859 413
567 225 551
419 117 78
356 803 479
600 912 586
441 834 819
210 627 298
762 855 392
275 524 690
381 448 827
22 830 130
25 45 549
631 68 762
458 306 308
608 143 716
27 875 711
447 808 337
424 260 122
51 864 167
34 65 336
744 922 138
870 850 271
620 81 524
399 174 335
166 190 69
169 87 723
143 142 340
819 155 259
907 425 839
324 417 747
550 746 441
320 174 909
150 900 612
5 380 356
157 263 113
717 958 42
849 609 696
706 750 889
410 441 341
207 762 412
625 818 738
378 682 341
144 544 180
583 926 472
796 942 473
343 425 696
637 437 953
790 701 51
759 875 580
492 929 659
670 77 138
773 298 134
16 416 487
887 93 904
597 662 686
470 382 880
915 66 403
980 631 443
370 402 965
662 37 292
547 949 770
294 259 467
82 294 821
189 673 106
110 744 429
438 611 361
69 447 733
831 943 582
497 730 278
459 23 309
273 215 964
372 797 950
867 799 680
753 844 281
732 714 387
393 541 211
328 609 609
722 534 655
827 444 765
934 588 962
832 612 910
834 300 445
460 324 246
860 926 597
371 26 978
79 83 152
70 680 245
910 584 6
471 511 599
260 296 646
281 512 329
42 729 628
409 672 971
735 521 347
297 92 793
103 451 689
615 897 439
889 104 139
771 691 400
561 562 1
395 707 601
234 346 398
358 598 728
275 852 117
685 793 248
334 437 957
202 318 229
23 819 99
760 850 619
579 145 878
509 238 1000
770 34 852
65 232 912
70 711 286
599 431 349
380 499 932
517 710 607
170 429 462
895 970 981
493 774 678
714 495 180
966 738 424
732 118 893
915 210 315
727 949 375
345 178 986
351 830 502
727 656 886
342 559 802
136 694 376
398 268 825
128 41 875
847 93 565
306 807 353
862 613 385
92 147 925
340 734 817
881 306 279
632 119 347
225 703 567
843 697 429
611 102 129
201 925 323
361 771 979
968 446 414
199 631 465
975 903 812
88 774 327
106 406 646
400 417 895
98 712 507
270 529 615
452 698 156
34 325 482
779 375 274
144 364 160
390 469 955
599 595 449
256 591 972
419 699 765
255 226 660
22 295 764
3 319 723
550 855 249
762 229 449
719 161 166
214 916 509
759 980 790
721 973 752
719 944 329
775 913 370
442 595 357
285 654 173
176 300 58
71 969 179
951 46 894
572 438 944
697 468 793
815 347 128
466 731 144
903 938 381
683 207 107
522 763 537
108 768 222
252 874 581
859 768 159
